Model,Context_Length,Strand,Log_Likelihood
fine_tuned,50000,+,-12.86127
fine_tuned,50000,+,-3108.408
fine_tuned,50000,+,-2.188798
fine_tuned,50000,+,-797020.7
fine_tuned,50000,+,-5.822272
fine_tuned,50000,+,-38.65152
fine_tuned,50000,+,-226.7119
fine_tuned,50000,-,-3489.737
fine_tuned,50000,-,-1.511747
fine_tuned,50000,+,-570.997
fine_tuned,50000,-,-4124.391
fine_tuned,50000,-,-0.1184648
fine_tuned,50000,-,-2.918732
fine_tuned,50000,-,-2.17192
fine_tuned,50000,-,-0.1259195
fine_tuned,50000,-,-0.4268094
fine_tuned,50000,-,-119.4063
fine_tuned,50000,-,-492.5468
fine_tuned,50000,-,-69966.15
fine_tuned,50000,-,-251.1584
fine_tuned,50000,-,-17.00727
fine_tuned,50000,-,-19.2926
fine_tuned,50000,-,-157.136
fine_tuned,50000,-,-0.8552429
fine_tuned,50000,-,-2.547744
fine_tuned,50000,-,-330.2475
fine_tuned,50000,-,-20.12723
fine_tuned,50000,+,-3.376749
fine_tuned,50000,+,-4463624.0
fine_tuned,50000,+,-7.519895
fine_tuned,50000,-,-10029.73
fine_tuned,50000,+,-3.553907
fine_tuned,50000,+,-388.5481
